Show Title,Theatre,Gross,Avg. Tix,SeatsSold,Prev.,RegularShows,TotalPerf.
ALADDIN,NEW AMSTERDAM,501150855,106,4718603,21,2790,2811
ALL ABOUT ME,HENRY MILLER,1354494,52,26494,27,20,47
ALL MY SONS,SCHOENFELD,17251132,89,195889,51,181,232
ALL MY SONS 1987,Golden,207092,0,12376,5,31,36
ALL SHOOK UP,PALACE,14447491,49,298652,33,213,246
ALL THE WAY,NEIL SIMON,19492726,109,177511,27,129,156
ALLEGIANCE,LONGACRE,8614614,76,113152,37,111,148
ALONE TOGETHER,MUSIC BOX,1135019,0,55617,15,97,112
ALTON BROWN LIVE: EAT YOUR SCIENCE,ETHEL BARRYMORE,580738,103,5651,0,8,8
AMADEUS,MUSIC BOX,5242594,43,121632,10,173,183
AMAZING GRACE,NEDERLANDER,5540127,60,92670,24,116,140
AMÉLIE,WALTER KERR,5307176,82,64833,27,56,83
AMERICAN BUFFALO,BELASCO,8604009,95,88070,47,101,148
AMERICAN IDIOT,ST. JAMES,39798052,77,510723,26,422,448
AMERICAN PSYCHO,SCHOENFELD,5627480,78,72358,27,54,81
AMERICAN SON,BOOTH,9811233,117,84436,33,97,130
AMERICAN UTOPIA,HUDSON,40649176,138,295895,41,240,281
AMOUR,MUSIC BOX,1338399,46,29103,31,17,48
AMY'S VIEW,ETHEL BARRYMORE,5911176,50,117926,12,103,115
AN ACT OF GOD,STUDIO 54,15649525,100,147895,34,174,208
AN ALMOST HOLY PICTURE,AMERICAN AIRLINES,2534937,45,56198,19,69,88
AN AMERICAN DAUGHTER,CORT,2712516,30,93476,27,89,116
AN AMERICAN IN PARIS,PALACE,85539240,96,882254,29,623,652
AN ENEMY OF THE PEOPLE,FRIEDMAN,1967382,47,41886,26,59,85
AN EVENING WITH JERRY HERMAN,BOOTH,365391,34,11345,13,28,41
AN EVENING WITH PATTI LUPONE AND MANDY PATINKIN,BARRYMORE,3740974,90,41613,6,57,63
AN IDEAL HUSBAND,ETHEL BARRYMORE,7755341,35,220920,7,307,314
AN INSPECTOR CALLS,ROYALE,14597764,0,347361,13,454,467
ANASTASIA,BROADHURST,93439880,105,881733,34,808,842
ANGELS IN AMERICA,WALTER KERR,40937028,20,658578,72,697,769
ANN,VIVIAN BEAUMONT,5251537,63,84060,19,132,151
ANNA CHRISTIE,CRITERION,1138978,0,37992,24,53,77
ANNA IN THE TROPICS,ROYALE,3115592,46,67446,15,113,128
ANNA KARENINA,CIRCLE,569861,0,31895,18,46,64
ANNIE,PALACE,59051957,86,677853,38,487,525
ANNIE - 1997,MARTIN BECK,12836836,51,253160,14,239,253
ANNIE GET YOUR GUN,MARQUIS,82148713,58,1415850,35,1045,1080
ANY GIVEN DAY,LONGACRE,420620,0,24691,16,32,48
ANYTHING GOES,STEPHEN SONDHEIM,47288859,91,515954,32,521,553
ANYTHING GOES 1987-1989,VIVIAN BEAUMONT,30293686,0,815629,44,784,828
ARCADIA,ETHEL BARRYMORE,4881785,63,78061,20,108,128
Arcadia 1995,VIVIAN BEAUMONT,5818602,0,174341,31,173,204
AREN'T WE ALL,BROOKS ATKINSON,3208200,0,98681,19,93,112
ARMS AND THE MAN,CIRCLE,1231248,0,65324,23,109,132
ARSENIC AND OLD LACE,46TH STREET,3860980,0,204249,7,221,228
ART,ROYALE,24287247,45,529168,20,600,620
ARTIST DESCENDING A STAIRCASE,HELEN HAYES,478626,0,16636,11,36,47
AS IS,LYCEUM,2384737,0,133617,6,286,292
AS LONG AS WE BOTH SHALL LAUGH,AMERICAN AIRLINES,330477,24,14257,9,15,24
ASINAMALI,LAWRENCE,132801,0,9007,11,28,39
ASPECTS OF LOVE,BROADHURST,16026804,0,369318,22,377,399
ASSASSINS,STUDIO 54,6024383,57,106080,26,101,127
AUGUST: OSAGE COUNTY,IMPERIAL,32835606,70,463842,18,648,666
AVENUE Q,Golden,121918918,70,1731068,22,2534,2556
